train_setting,eval_setting,delta_mae,delta_spearman,direction_auc,ranking_spearman,ranking_ndcg_at_5,best_hit_at_5,positive_hit_at_5,note
original_only,original_test,0.42351499088506256,0.6923805713696071,0.8193437149347274,0.6546420584842448,0.838660970821073,0.8518518518518519,0.9919354838709677,held-out original split
original_only,faris_all_score,1.3723606002495181,0.5092715871559139,0.7569195217170569,0.5103973638873343,0.7464858477681366,0.7729257641921398,0.9665071770334929,all Faris local SAR groups scored as literature benchmark
faris_only,faris_test,0.9989234735380466,0.3702561465332157,0.6859676577986437,0.28314087248087355,0.7629025318077186,0.8260869565217391,0.9565217391304348,held-out Faris split
faris_only,original_test,0.7255766554354455,0.3869969670693261,0.7043809354388462,0.2553384201981165,0.7776383137313277,0.7925925925925926,0.9919354838709677,cross-dataset original split
original_plus_faris,combined_test,0.7007250283905609,0.5749923558084031,0.7654855275443511,0.5469469300045869,0.8160586808190835,0.8354430379746836,0.9931972789115646,held-out split after merging original and Faris
original_plus_faris,original_test,0.6662809097363855,0.6274074196467041,0.7852089548154029,0.5876874354522419,0.8318000225019491,0.8518518518518519,1.0,cross-check on original test split
